system,name,distance,coordinates,stellar_class
GJ 1227 (G 227-29),GJ 1227 (G 227-29),27.23600.0078,18h 22m 27.1s62  03 02,M4.0V
GJ 1289 (G 130-4),GJ 1289 (G 130-4),27.2750.013,23h 43m 06.3s36  32 13,MV
Gliese 185 (HD 32450),Gliese 185 (HD 32450) A,27.27660.0096,05h 02m 28.5s21  15 24,M1V
Gliese 185 (HD 32450),Gliese 185 (HD 32450) B,,,M1V
SCR 1138-7721,SCR 1138-7721,27.32960.0070,11h 38m 16.8s77  21 49,MV
SCR J15465534,SCR J15465534 A,27.390.16,15h 46m 41.7s55  34 47,M7.5
SCR J15465534,SCR J15465534 B,,,T8
2MASS J003451570523050,2MASS J003451570523050,27.450.64,00h 34m 51.6s05  23 05,T6.5
TYC 3980-1081-1,A (IRAS 215005903),27.6040.0036,21h 51m 38.3s59  17 40,M3.5V
TYC 3980-1081-1,B (UCAC4 747-070768),,,DAH
Beta Canum Venaticorum (Chara),Beta Canum Venaticorum (Chara),27.6340.036,12h 33m 44.5s41  21 27,G0V
Gliese 232 (Ross 64),Gliese 232 (Ross 64),27.70460.0065,06h 24m 41.3s23  25 59,M4V
Gliese 618 (CD-37 10765),Gliese 618 (CD-37 10765) A,27.76470.0069,16h 20m 03.5s37  31 44,M3V
Gliese 618 (CD-37 10765),Gliese 618 (CD-37 10765) B,,,M5
"Gliese 318 (CD-32 5613, LAWD 28)","Gliese 318 (CD-32 5613, LAWD 28)",27.78260.0049,08h 41m 32.4s32  56 33,DA5.5
61 Virginis,61 Virginis,27.8360.035,13h 18m 24.3s18  18 40,G7V
GJ 1276 (EGGR 453),GJ 1276 (EGGR 453),27.84360.0081,22h 53m 53.3s06  46 54,DZ
Gliese 493.1 (Wolf 461),Gliese 493.1 (Wolf 461),27.8690.015,13h 00m 33.5s05  41 08,M4.5Ve
GJ 3454 (G 89-32),GJ 3454 (G 89-32) A,27.970.23,07h 36m 25.1s07  04 43,M4.5V
GJ 3454 (G 89-32),GJ 3454 (G 89-32) B,,,M
CWISEP 0402-2651,CWISEP 0402-2651,28.025.994.20,02h 02m 16.2s10  20 14,Y1
Gliese 877 (L 49-19),Gliese 877 (L 49-19),28.04120.0041,22h 55m 45.5s75  27 31,M3V
CD Ceti (GJ 1057),CD Ceti (GJ 1057),28.0520.010,03h 13m 22.9s04  46 29,M4.5Ve
Zeta Tucanae,Zeta Tucanae,28.0730.032,00h 20m 04.3s64  52 29,F9.5V
LP 502-56 (NLTT 40406),LP 502-56 (NLTT 40406),28.1070.011,15h 30m 30.3s09  26 01,M5.5V
WISE 16475632,WISE 16475632,28.129.375.62,16h 47m 15.8s56  32 06,T6
CWISE 06171945,CWISE 06171945 A,28.25.734,06h 17m 41.8s19  45 13,L2
CWISE 06171945,CWISE 06171945 B,,,L4
GJ 3517 (LP 666-9),GJ 3517 (LP 666-9),28.2420.018,08h 53m 36.2s03  29 32,M9V
Chi1 Orionis,Chi1 Orionis A,28.2560.066,05h 54m 23.0s20  16 34,G0V
Chi1 Orionis,Chi1 Orionis B,,,Unknown
AP Columbae,AP Columbae,28.26360.0073,06h 04m 32.2s 34  33 36,M4.5Ve
SIPS J1141-3624 (PM J11413-3624),SIPS J1141-3624 (PM J11413-3624),28.34080.0088,11h 41m 21.5s36  24 35,M5
GJ 1207 (G 19-7),GJ 1207 (G 19-7),28.38220.0062,16h 57m 05.7s04  20 56,M3.5Ve
LP 991-84,LP 991-84,28.4590.010,39h 54m 21.7s39  36 09,M4.5V
Xi Ursae Majoris,Aa (Alula Australis),28.490.11,11h 18m 10.9s31  31 45,F8.5V
Xi Ursae Majoris,Ab,,,M
Xi Ursae Majoris,Ba,,,G2V
Xi Ursae Majoris,Bb,,,M
Xi Ursae Majoris,WISE J11183125,,,T8.5
2MASS 00361821 (LSPM J00361821),2MASS 00361821 (LSPM J00361821),28.4920.034,00h 36m 16.17s18  21 10.4,L3.5
Gliese 250 (HD 50281),Gliese 250 (HD 50281) A,28.53730.0055,06h 52m 18.1s05  10 25,K3V
Gliese 250 (HD 50281),Ba,,,M2.5V
Gliese 250 (HD 50281),Bb,,,Unknown
Gliese 450 (MCC 135),Gliese 450 (MCC 135),28.58880.0048,11h 51m 07.3s35  16 19,M1.5V
GJ 1103,GJ 1103 A,28.61,,M4.5V
GJ 1103,GJ 1103 B,,,MV
WISENF 19360408,WISENF 19360408,28.640.99,19h 36m 56.1s04  08 01,Y0
41 G. Arae,41 G. Arae A,28.6730.018,17h 19m 03.8s46  38 10,G8V
41 G. Arae,Ba,,,M0V
41 G. Arae,Bb,,,Unknown
"HD 192310 (5 G. Capricorni, HR 7722, Gliese 785)","HD 192310 (5 G. Capricorni, HR 7722, Gliese 785)",28.7390.013,20h 15m 17.4s27  01 59,K2V
Gliese 849,Gliese 849,28.75030.0076,22h 09m 40.3s 04  38 27,M3.5V
HU Delphini (Gliese 791.2),HU Delphini (Gliese 791.2) A,28.7620.051,20h 29m 48.3s09  41 20,M4.5V
HU Delphini (Gliese 791.2),HU Delphini (Gliese 791.2) B,,,M
Gliese 745,A (Ross 730),28.80660.0049,19h 07m 05.6s20  53 17,M2.0V
Gliese 745,B (HD 349726),,,M2V
IRAS 06355-7535 (LDS 169),A (L 32-9),28.83010.0043,06h 33m 47.0s75  37 46,M2V
IRAS 06355-7535 (LDS 169),B (L 32-8),,,M3V
"HR 1614 (284 G. Eridani, HD 32147, Gliese 183)","HR 1614 (284 G. Eridani, HD 32147, Gliese 183)",28.84510.0057,05h 00m 49.0s05  45 13,M1V
GJ 1105 (G 111-47),GJ 1105 (G 111-47),28.86530.0066,07h 58m 12.7s41  18 13,M3.5Ve
Gliese 867,A (FK Aquarii),28.86680.0099,22h 38m 45.6s20  37 16,M0Vep
Gliese 867,B (FL Aquarii),,,M3.5V
Gliese 867,Gliese 867 C,,,Unknown
Gliese 867,Gliese 867 D,,,Unknown
Ross 695 (Gliese 465),Ross 695 (Gliese 465),28.94690.0062,12h 24m 52.5s18  14 32,M2
SCR J0630-7643,SCR J0630-7643 A,28.9510.024,06h 30m 46.6s76  43 09,M6.0
SCR J0630-7643,SCR J0630-7643 B,,,M
DENIS 0334-49 (LEHPM 3396),DENIS 0334-49 (LEHPM 3396),28.9630.014,03h 34m 12.2s49  53 32,M9V
2MASS 07271710,2MASS 07271710,28.990.23,07h 27m 18.2s17  10 01,T7
Gamma Leporis,Gamma Leporis A,29.00040.0058,05h 44m 27.8s22  26 54,F6V
Gamma Leporis,B (AK Leporis),,,K2V
WISE1810,WISE1810,29.032.281.95,18h 10m 06.18s10  10 00.5,esdT8-esdT939
GJ 2066 (G 113-20),GJ 2066 (G 113-20),29.15500.0059,08h 16m 08.0s01  18 09,M2.0V
"LHS 224 (G 193-27, GJ 3421)","LHS 224 (G 193-27, GJ 3421) A",29.430.19,07h 03m 55.7s52  42 07,M5.0Ve
"LHS 224 (G 193-27, GJ 3421)","LHS 224 (G 193-27, GJ 3421) B",,,M
SZ Ursae Majoris,SZ Ursae Majoris,29.5880.0045,11h 20m 04.8s65  50 47,M2V
Gliese 433,Gliese 433,29.60450.0055,11h 35m 26.9s32  32 24,M2V
Delta Eridani (Rana),Delta Eridani (Rana),29.6440.052,03h 43m 14.9s 09  45 48,KIV
Gliese 508 (HD 115953),Aa,29.650.23,13h 19m 45.5s47  46 41,M2V
Gliese 508 (HD 115953),Ab,,,Unknown
Gliese 508 (HD 115953),Gliese 508 (HD 115953) B,,,Unknown
GJ 3146 (LP 469-206),GJ 3146 (LP 469-206),29.6640.019,02h 16m 30.0s13  35 13,M5.0Ve
"LHS 1126 (GJ 2012, EGGR 246)","LHS 1126 (GJ 2012, EGGR 246)",29.67010.0055,00h 41m 26.0s22  21 02,DQ9
V374 Pegasi,V374 Pegasi,29.68980.0070,22h 01m 13.1s28  18 25,M3.5Ve
2MASSI J0652307471034,2MASSI J0652307471034,29.7140.076,06h 52m 30.7s47  10 35,L4.5
WT 460,WT 460 A,29.7230.063,14h 11m 59.9s41  32 22,M5.5e
WT 460,WT 460 B,,,Unknown
Gliese 283 (L 745-46),"A (LP 783-3, LAWD 25)",29.82850.0049,07h 40m 20.8s17  24 49,DAZ6
Gliese 283 (L 745-46),B (LP 783-2),,,M6.5V
WISE 07132917,WISE 07132917,29.840.58,07h 13m 22.6s29  17 52,Y0
2MASS J035523371133437,2MASS J035523371133437,29.880.13,03h 55m 23.4s11  33 44,L5
WISEP J213456.73-713743.6,WISEP J213456.73-713743.6,29.901.05,21h 34m 56.7s71  37 45,T9pec
"Groombridge 1830 (CF Ursae Majoris, HD 103095)","Groombridge 1830 (CF Ursae Majoris, HD 103095)",29.91450.0054,11h 52m 58.8s37  43 07,G8VIp
GJ 3801 (Ross 1015),GJ 3801 (Ross 1015),29.9800.012,13h 42m 43.3s33  17 24,M4V
Beta Comae Berenices,Beta Comae Berenices,29.9980.045,13h 11m 52.4s27  52 41,G0V
CFBDS J005910.90 011401.3 (CFBDS J005910-011401),CFBDS J005910.90 011401.3 (CFBDS J005910-011401),30  1,,T8.5
GJ 3325,GJ 3325,30.03  0.72,,M3V
WISE 04586434 (WISEPC J045853.90643451.9),WISE 04586434 (WISEPC J045853.90643451.9) A,30.1  0.5,,T8.5
WISE 04586434 (WISEPC J045853.90643451.9),WISE 04586434 (WISEPC J045853.90643451.9) B,,,T9.5
GJ 3421,GJ 3421,30.1  0.6,,M4.5V
2MASS 1750-00,2MASS 1750-00,30.1,,L5.5
WISE 18043117,WISE 18043117,30.2,,T9.5
Gamma Pavonis,Gamma Pavonis,30.20  0.03,21h 26m 26.60484s65  21 58.3145citation needed,F9VFe-1.4 CH-0.7
GJ 3135,GJ 3135,30.25,,M2.5V
Kappa Ceti,Kappa Ceti,30.26  0.05,,G5Vv
SDSS J141624.08134826.7 (SDSS J14161348),SDSS J141624.08134826.7 (SDSS J14161348) A,30.27  0.06,,sdL7
SDSS J141624.08134826.7 (SDSS J14161348),SDSS J141624.08134826.7 (SDSS J14161348) B,,,T7.5p
HD 102365 (66 G. CentauriGliese 442),HD 102365 (66 G. CentauriGliese 442) B,30.362  0.010,11h 46m 32.68988s40  29 47.6048citation needed,M4V
HD 102365 (66 G. CentauriGliese 442),HD 102365 (66 G. CentauriGliese 442) A,30.40  0.02,11h 46m 31.07253s40  30 01.2859citation needed,G2V
2MASS J00115908,2MASS J00115908,30.37,,M6V
GJ 1123,GJ 1123,30.51  0.28,,M4.5V
Gliese 190,Gliese 190,30.52  0.18,,M1V
Gliese 226,Gliese 226,30.60  0.12,,M2.5V
GJ 3306 (LHS 194),GJ 3306 (LHS 194),30.69  0.39,,DQ8
Gliese 367 (Aauca),Gliese 367 (Aauca),30.719  0.004,,M1.0V
Gliese 357,Gliese 357,30.776  0.007,,M2.5V
2MASS J11592743-5247188,2MASS J11592743-5247188,30.9  0.04,,M9V
2MASS 00340523,2MASS 00340523,30.9  2.42.1,,T6.5
Gliese 694,Gliese 694,30.92  0.34,,M2V
Gliese 176,Gliese 176,30.937  0.006,,M1V
GJ 3512,GJ 3512,30.976  0.009,,M5.7
GJ 1065,GJ 1065,30.98  0.98,,M3V
CWISEP J14462317,CWISEP J14462317,31  2,,Y1
GJ 1227,GJ 1227,31.06  1.78,,M4.0V
GJ 3380,GJ 3380,31.075,,M5V
HR 4458 (289 G. Hydrae),HR 4458 (289 G. Hydrae) B,31.164  0.008,,DC8
HR 4458 (289 G. Hydrae),HR 4458 (289 G. Hydrae) A,31.177  0.008,,K0V
2MASS J11553952-3727350,2MASS J11553952-3727350,31.2  1.5,,L2.3
61 Ursae Majoris,61 Ursae Majoris,31.24  0.04,,G8V
Wolf 1069,Wolf 1069,31.229  0.008,,dM5.0
Gliese 358,Gliese 358,31.36  0.12,,M3V
WISEA J11413326,WISEA J11413326,31.4  0.9,,Y0
TYC 3251-1875-1,TYC 3251-1875-1,31.51  5.90,,MV
LHS 6167,LHS 6167,31.57  0.30,,M4.5V
WISE J140533.32835030.5,WISE J140533.32835030.5,31.6  5.5,,L8
Gliese 479,Gliese 479,31.61  0.68,,M3V(e)
AU Microscopii,AU Microscopii,31.683  0.007,,M1Ve
GJ 1138,GJ 1138,31.70  0.96,,M5V
Gliese 436 (Noquisi),Gliese 436 (Noquisi),31.882  0.009,,M2.5V
LP 655-48,LP 655-48,31.96  0.33,,M7.5Ve
WISE 0811-8051,WISE 0811-8051,32,,T9.5
GJ 3112 (LHS 145),GJ 3112 (LHS 145),32.04  0.25,,DA8.1
GJ 3253,GJ 3253,32.11  0.64,,M5V
Gliese 638,Gliese 638,32.114  0.005,,K7.5Ve
Gliese 4951,Gliese 4951 A,32.158  0.005,,M1.5V
Gliese 4951,Gliese 4951 B,,,M5V
12 Ophiuchi,12 Ophiuchi,32.27  0.02,,K2V
GJ 3988,GJ 3988,32.30  0.01,,M5V
HD 232979,HD 232979,32.320  0.009,,M0.5V
GJ 3119,GJ 3119,32.36  0.59,,M4.5Ve
Gliese 680,Gliese 680,32.37  0.26,,M3V
Gliese 569 A,Gliese 569 A,32.466  0.007,,M3V
WISE 16141739,WISE 16141739,32.6,,T9
ULAS 133511,ULAS 133511,32.6  0.5,,T9
HD 260655 (Gliese 239),HD 260655 (Gliese 239),32.608  0.007,,M0V
GJ 1125,GJ 1125,32.61  0.17,,M3.5Ve
10 parsecs (about 32.616 ly),10 parsecs (about 32.616 ly),10 parsecs (about 32.616 ly),10 parsecs (about 32.616 ly),10 parsecs (about 32.616 ly)
GJ 3976,GJ 3976,32.71  1.02,,M5V
GJ 3182,GJ 3182,32.73  0.10,,DAZ9.5
Gliese 22,Gliese 22 A,32.82  0.69,,M2.5Ve
Gliese 22,Gliese 22 B,,,M3V
Gliese 22,Gliese 22 C,,,M
HR 5256,HR 5256,32.83  0.11,,K3V
HR 511,HR 511,32.84  0.18,,K0V
WISE 11506302,WISE 11506302,32.9,,T8
WISE 1318-1758,WISE 1318-1758,32.9,,T9
Gliese 678.1 A,Gliese 678.1 A,33.12  0.10,,M1.0Ve
Gliese 453,Gliese 453,33.13  0.19,,K4V
Alpha Mensae (Hoerikwaggo),Alpha Mensae (Hoerikwaggo) A,33.26  0.05,,G7V
Alpha Mensae (Hoerikwaggo),Alpha Mensae (Hoerikwaggo) B,,,M3.5-6.5 V
Gliese 1277,Gliese 1277,33.59  0.33,,M1V
Pollux (Beta Geminorum),Pollux (Beta Geminorum),33.78  0.09,,K0III
2MASS J21390220,2MASS J21390220,33.8  0.4,,T1.5
Gliese 649,Gliese 649,33.84  0.12,,M1.5V
Gliese 339.1,Gliese 339.1,33.52  0.64,,DC7P
SCR J0533-4257,SCR J0533-4257,33.75  0.64,,M4.5V
HD 17925 (32 G. Eridani),HD 17925 (32 G. Eridani),33.76  0.14,,K1V
2MASS 0559-1404,2MASS 0559-1404,33.76  0.35,,T4.5
2MASS 12376526,2MASS 12376526,33.9  1.8,,T6.5V
WISE 1322-2340,WISE 1322-2340,33.9,,T8
Gliese 595,Gliese 595,34.01  1.87,,M3
Gliese 127.1,Gliese 127.1,34.08  0.62,,M1V
WISE J20300749,WISE J20300749,34.2  8.5,,T1.5
L 363-38 (GJ 3049),L 363-38 (GJ 3049),34.25  0.50,,M3
Iota Persei,Iota Persei,34.38  0.08,,G0V
2MASS 10472124,2MASS 10472124,34.4  1.4,,T6.5
WD 0821-669,WD 0821-669,34.44  0.20,,DA9.8
2MASS J005019943322402,2MASS J005019943322402,34.5  0.9,,T7
Gliese 653654,Gliese 653654 A,34.60  0.35,,K45V
Gliese 653654,Gliese 653654 B,,,M1.5V
L 98-59,L 98-59,34.6,,M3V
WISE 0148-7202,WISE 0148-7202,34.6,,T9.5
2MASS 2228-4310,2MASS 2228-4310,34.7  2.82.4,,T6.5
2MASS J082519682115521,2MASS J082519682115521,34.8  0.4,,L7.5
2MASS 0243-2453,2MASS 0243-2453,34.8  1.4,,T6
WISE 0734-7157,WISE 0734-7157,34.9,,Y0
Zeta Herculis,Zeta Herculis A,34.95  0.18,,F9IV
Zeta Herculis,Zeta Herculis B,,,G7V
Gliese 617,Gliese 617 A,34.99  0.14,,M1-Ve
Gliese 617,Gliese 617 B,,,M3.0Ve
AT Microscopii,AT Microscopii A,35  1,,M4Ve
AT Microscopii,AT Microscopii B,,,M4.5Ve
TVLM513-46546,TVLM513-46546,35.1  0.09,,M8.5V
Gliese 203,Gliese 203,35.11  0.92,,M3.5Ve
Gliese 3820,Gliese 3820,35.12  0.32,,M4.5V
SCR J0838-5855,SCR J0838-5855 A,35.16  0.22,,M6.0
SCR J0838-5855,SCR J0838-5855 B,,,M
HR 9038,HR 9038 A,35.2  0.2,,K3V
HR 9038,HR 9038 B,,,K3V
HR 9038,HR 9038 C,,,M2
Gliese 488,Gliese 488,35.2  0.4,,MV
Delta Trianguli,Delta Trianguli A,35.4  0.3,,G0V
Delta Trianguli,Delta Trianguli B,,,K
L 34-26,L 34-26,35.52  0.06,,M3
GJ 4063,GJ 4063,35.5292,,M4V
Beta Virginis (Zavijava),Beta Virginis (Zavijava),35.6  0.3,,F9V
Gliese 86,Gliese 86 A,35.6  0.2,,K1V
Gliese 86,Gliese 86 B,,,DQ6
SCR J1214-2345,SCR J1214-2345 A,35.69  0.60,,M4.5
SCR J1214-2345,SCR J1214-2345 B,,,T1
G 239-25,G 239-25,35.77  0.12,,M3V
HD 160346,HD 160346,35.88  0.27,,K3V
2MASS J19513587-3510375,2MASS J19513587-3510375,35.88  6.52,,M4
WISE 2313-0837,WISE 2313-0837,35.9,,T8
Gliese 438,Gliese 438,35.94  0.19,,MV
L 369-44,L 369-44 A,36.168,,M5
L 369-44,L 369-44 B,,,M
2MASS J16452211-1319516,2MASS J16452211-1319516,36.19  0.33,,L1.5
Denebola (Beta Leonis),Denebola (Beta Leonis),36.2  0.4,,A3V
HR 6806 (HD 166620),HR 6806 (HD 166620),36.2  0.2,,K2V
54 Piscium,54 Piscium A,36.2  0.3,,K0V
54 Piscium,54 Piscium B,,,T7.5V
HIP 57050 (GJ 1148),HIP 57050 (GJ 1148),36.2  1.1,,MV
Gamma Serpentis,Gamma Serpentis,36.3  0.3,,F6V
HD 74576,HD 74576,36.3  0.2,,KV
HD 85512,HD 85512,36.4  0.3,,K5V
Gliese 325,Gliese 325 A,36.4  1.51.4,,KV
Gliese 325,Gliese 325 B,,,M
WD 0810 353 (UPM J0812-3529),WD 0810 353 (UPM J0812-3529),36.439  0.006,,DAH
11 Leonis Minoris,11 Leonis Minoris A,36.5  0.3,,G8V
11 Leonis Minoris,11 Leonis Minoris B,,,M5V
WISE 03250831,WISE 03250831,36.5,,T7
Theta Persei,Theta Persei A,36.6  0.3,,F7V
Theta Persei,Theta Persei B,,,M1V
HD 115404,HD 115404 A,36.6  0.4,,K2V
HD 115404,HD 115404 B,,,M1V
Arcturus (Alpha Botes),Arcturus (Alpha Botes),36.7  0.3,,K0III
ADS 48,ADS 48 A,36.7  0.6,,K6V
ADS 48,ADS 48 B,,,M0.5V
G 107-6970,G 107-6970 A,36.76  0.01,,M4.5
G 107-6970,G 107-6970 B,,,DA
G 107-6970,G 107-6970 C,,,DA
WISE 00382768,WISE 00382768,36.9,,T9
Eta Botis (Muphrid),Eta Botis (Muphrid),37.0  0.3,,G0IV
Gliese 208,Gliese 208,37.1  0.6,,M0.0 Ve
Gliese 902,Gliese 902,37.2  0.3,,KV
WISE 0627-1114,WISE 0627-1114,37.2,,T6
WISE 1959-3338,WISE 1959-3338,37.2,,T8
Gliese 169,Gliese 169,37.4  0.5,,M1V
WISE 0623-0456,WISE 0623-0456,37.5,,T8
WISE 2325-4105,WISE 2325-4105,37.5,,T9pec
ADS 48 F,ADS 48 F,37.51  0.02,,M1V
HR 5553 (DE Botis),HR 5553 (DE Botis),37.6  0.4,,K0V
WISE 2340-0745,WISE 2340-0745,37.8,,T7
Gliese 3417,Gliese 3417,37.88  0.96,,M4.5V
Zeta Doradus,Zeta Doradus A,38.0  0.2,,F7V
Zeta Doradus,Zeta Doradus B,,,K7V
SCR J0640-0552,SCR J0640-0552,38.04  1.27,,M2
SSSPM J0829-1309,SSSPM J0829-1309,38.128  0.077,,L2
Iota Pegasi,Iota Pegasi A,38.3  0.3,,F5V
Iota Pegasi,Iota Pegasi B,,,G8V
Lambda Serpentis,Lambda Serpentis,38.3  0.4,,G0V
Gliese 773.6,Gliese 773.6,38.5  5.8,,KV
WISE J12068401,WISE J12068401,38.5  1.0,,Y0
Delta Capricorni (Deneb Algedi),Delta Capricorni (Deneb Algedi),38.6  0.4,,A7mIII
HD 125072,HD 125072,38.6  0.4,,K3IV
L 43-72,L 43-72,38.66  0.71,,M4.5
Gamma Virginis (Porrima),Gamma Virginis (Porrima) A,38.7  0.4,,F0V
Gamma Virginis (Porrima),Gamma Virginis (Porrima) B,,,F0V
L 449-1,L 449-1,38.7  0.6,,MV
WISE 0759-4904,WISE 0759-4904,38.8,,T8
Gliese 414 B (GJ 414),Gliese 414 B (GJ 414),38.7,,M2V
Gliese 414 A (GJ 414),Gliese 414 A (GJ 414),38.76,,K7V
WISE 0751-7634,WISE 0751-7634,39.1,,T9
G 180-060,G 180-060,39.20  1.19,,M6V
Gliese 806,Gliese 806,39.348  0.008,,dM1.5
Zeta Reticuli,Zeta Reticuli A,39.4  0.3,,G3V
Zeta Reticuli,Zeta Reticuli B,,,G2V
Zeta Trianguli Australis,Zeta Trianguli Australis,39.5  0.3,,F9V
85 Pegasi,85 Pegasi A,39.5  0.4,,G5Vb
85 Pegasi,85 Pegasi B,,,K7V
Gliese 798,Gliese 798,39.5  0.6,,KV
Gliese 180 (GJ 180),Gliese 180 (GJ 180),39.5  1.21.1,,M1V
TRAPPIST-1,TRAPPIST-1,39.5  1.3,,M8.2V
WISE 16534444,WISE 16534444,39.5,,T8
Gliese 3304,Gliese 3304,39.53  1.43,,M4.5V
HR 3384 (11 G. Pyxidis),HR 3384 (11 G. Pyxidis),39.7  0.3,,G9V
V538 Aurigae,V538 Aurigae,39.9  0.4,,K1V
Gliese 179,Gliese 179,40.1 2.11.9,,M1V
Beta Trianguli Australis,Beta Trianguli Australis,40.2  0.3,,F1V
Gliese 806,Gliese 806,40.2  0.9,,M1.5V
55 Cancri (Rho CancriCopernicus),55 Cancri (Rho CancriCopernicus) A,40.25  0.37,,G8V
55 Cancri (Rho CancriCopernicus),55 Cancri (Rho CancriCopernicus) B,,,M4V
Gliese 435,Gliese 435,40.8  0.5,,KV
Gliese 4360,Gliese 4360 A,40.77  0.65,,M5
Gliese 4360,Gliese 4360 B,,,M5
WISE 1051-2138,WISE 1051-2138,40.8,,T9
WISE J0457-0207,WISE J0457-0207,40.8  10.1,,T2
LHS 1140,LHS 1140,41,,M4.5V
HD 69830,HD 69830,41.0  0.4,,G8V
ULAS J0034-00,ULAS J0034-00,41.0 2.11.9,,Y0
WISE 15422230,WISE 15422230,41.1,,T9.5
Gliese 1132,Gliese 1132,41.15  0.02,,M1V
HR 483,HR 483 A,41.2  0.4,,G1.5V
HR 483,HR 483 B,,,MV
Lambda Aurigae (Al Hurr),Lambda Aurigae (Al Hurr),41.2  0.5,,G1V
Gliese 142,Gliese 142,41.2  1.2,,M1V
HD 175224,HD 175224,41.2  1.6,,MV
Innes' star,Innes' star,41.3,,MV
HD 14412,HD 14412,41.4  0.4,,G8V
Gliese 349,Gliese 349,41.4  0.6,,KV
44 Botis (i BotisQuadrans),44 Botis (i BotisQuadrans) A,41.6  0.3,,G0V
44 Botis (i BotisQuadrans),44 Botis (i BotisQuadrans) B,,,F
2MASS J0523-1403,2MASS J0523-1403,41.62,,L2.5
HD 158633,HD 158633,41.7  0.3,,K0V
Gliese 3707,Gliese 3707,41.75  1.30,,M3.5V
HD 40307,HD 40307,41.8  0.3,,K2.5V
36 Ursae Majoris,36 Ursae Majoris,41.9  0.4,,F8V
HD 147513,HD 147513,42.0  0.5,,G1V
Gliese 428,Gliese 428,42.0  1,,KV
WISE 08575604,WISE 08575604,42.1,,T8
HD 104304,HD 104304 A,42.1  0.4,,G8IV
HD 104304,HD 104304 B,,,M4V
Capella (Alpha Aurigae),Aa,42.9190.049,,G8III-G3III
Capella (Alpha Aurigae),Ab,,,G0III-G1III
Capella (Alpha Aurigae),Capella (Alpha Aurigae) H,43.52  0.01,,M2.5 V
Capella (Alpha Aurigae),Capella (Alpha Aurigae) L,43.38  0.03,,M4
Wolf 1473,Wolf 1473,42.26  0.92,,M3.5
Gliese 204,Gliese 204,42.3  0.5,,KV
HD 166348,HD 166348,42.3  0.7,,M0V
WISE 2019-1148,WISE 2019-1148,42.4,,T8.5
HD 172051,HD 172051,42.4  0.5,,G5V
Gliese 521,Gliese 521,42.4  0.9,,M1V
GRW 70 8247,GRW 70 8247,42.4 1.31.2,,DAw
Gliese 1001,Gliese 1001 A,42.44  2.08,,M1V
Gliese 1001,Gliese 1001 B,,,M1V
WISE 2134-7137,WISE 2134-7137,42.7,,T9
WISE 2359-7335,WISE 2359-7335,42.7,,T5.5
Gliese 167,Gliese 167,42.7  0.3,,M1V
HD 190007,HD 190007,42.8  0.6,,K4V
SZ Crateris,SZ Crateris,42.9  1,,KV
HD 170657,HD 170657,43.1  0.5,,K2V
58 Eridani,58 Eridani,43.4  0.5,,G1.5V
CW Ursae Majoris,CW Ursae Majoris,43.6,,M3.5V
Gliese 146,Gliese 146,43.6  0.5,,M1V
Gliese 1267,Gliese 1267,43.6  0.8,,M1V
Gliese 556,Gliese 556,43.8  0.4,,KV
Gliese 69,Gliese 69,43.8  0.7,,K5V
Upsilon Andromedae (Titawin),Upsilon Andromedae (Titawin) A,43.9  0.4,,F8V
Upsilon Andromedae (Titawin),Upsilon Andromedae (Titawin) B,,,M4.5V
Theta Ursae Majoris (Alhaud),Theta Ursae Majoris (Alhaud),44.0  0.4,,F6IV
HD 29697,HD 29697,44.0  0.8,,K3V
G 161-71,G 161-71,44.02  0.84,,M4.5
Gliese 868,Gliese 868,44.2  0.7,,K5V
WISE 03595401,WISE 03595401,44.3  1.2,,Y0
WISE 13110122,WISE 13110122,44.4,,T9
WISE 19527240,WISE 19527240,44.4,,T4
HD 211415,HD 211415 A,44.4  0.4,,G0V
HD 211415,HD 211415 B,,,MV
Gliese 528,Gliese 528 A,44.4  0.7,,K4V
Gliese 528,Gliese 528 B,,,dK6
G 29-38,G 29-38,44.4 2.62.3,,DAV4.4
HD 154577,HD 154577,44.6  0.6,,K2.5Vk
WISE 05130608,WISE 05130608,44.7,,T6.5
WISE 2255-3118,WISE 2255-3118,44.7,,T8
Beta Aquilae (Alshain),Beta Aquilae (Alshain),44.7  0.5,,G8IV
HD 166,HD 166,44.7  0.5,,G8V
Gliese 215,Gliese 215,44.7  0.7,,MV
10 Tauri,10 Tauri,44.8  0.5,,F8V
Gliese 615,Gliese 615,44.8  0.5,,KV
HD 166,HD 166,44.9  0.03,,K0 Ve
WISE J03042705,WISE J03042705,45  2,,Y0pec
WISE 22260440,WISE 22260440,45,,T8
Gamma Cephei (Errai),Gamma Cephei (Errai) A,45.0  0.3,,K1IVe
Gamma Cephei (Errai),Gamma Cephei (Errai) B,,,M4V
Iota Piscium,Iota Piscium,45.0  0.5,,F7V
WISE 0323-6025,WISE 0323-6025,45.3,,T8.5
GJ 898,GJ 898,45.5  0.9,,KV
Tau Eridani,Tau Eridani,45.6  0.5,,F7V
Alpha Fornacis (Dalim),Alpha Fornacis (Dalim) A,45.66  0.08,,F6V
Alpha Fornacis (Dalim),Ba,,,G7V
Alpha Fornacis (Dalim),Bb,,,D
18 Scorpii,18 Scorpii,45.7  0.6,,G2Va
Gliese 532,Gliese 532,45.7  0.6,,KV
WISE 03354310,WISE 03354310,45.7,,T9
WISE 07233403,WISE 07233403,45.7,,T9
HD 23356,HD 23356,45.8  0.6,,K2V
