system,name,distance,coordinates,stellar_class
DENIS 02554700,DENIS 02554700,15.8770.014,205.42510.18578,Unknown
Groombridge 1618 (Gliese 380),Groombridge 1618 (Gliese 380),15.88570.0017,205.31480.02248,K7V
Gliese 412,Gliese 412 A,15.99690.0026,203.88760.03328,M1.5V
Gliese 412,B (WX Ursae Majoris),,,Unknown
AD Leonis,AD Leonis,16.19390.0024,201.40640.02968,M3.5V
Gliese 832,Gliese 832,16.20050.0019,201.32520.02378,K2V
Gliese 682 (CD-44 11909),Gliese 682 (CD-44 11909),16.33280.0026,199.69440.03128,M3V
"Omicron2 Eridani(40 Eridani, Gliese 166)",Keid (A),16.33300.0042,199.69110.05128,Unknown
"Omicron2 Eridani(40 Eridani, Gliese 166)","Omicron2 Eridani(40 Eridani, Gliese 166) B",,,M1V
"Omicron2 Eridani(40 Eridani, Gliese 166)","Omicron2 Eridani(40 Eridani, Gliese 166) C",,,M1V
EV Lacertae,EV Lacertae,16.47610.0018,197.95730.02208,M3.5Ve
70 Ophiuchi (Gliese 702),70 Ophiuchi (Gliese 702) A,16.70740.0087,195.21660.101248,Unknown
70 Ophiuchi (Gliese 702),70 Ophiuchi (Gliese 702) B,,,Unknown
Altair (Alpha Aquilae),Altair (Alpha Aquilae),16.7300.049,194.950.5768,A7V
"EI Cancri (GJ 1116, G 9-38)","EI Cancri (GJ 1116, G 9-38) A",16.8000.011,194.14430.12288,Unknown
"EI Cancri (GJ 1116, G 9-38)","EI Cancri (GJ 1116, G 9-38) B",,,Unknown
WISE J150649.97702736.1,WISE J150649.97702736.1,16.8560.052,193.50.660,T5V
GJ 3379 (G 99-49),GJ 3379 (G 99-49),16.98610.0027,192.01350.03108,M4.5V
DENIS J081730.0615520,DENIS J081730.0615520,17.0020.037,191.83620.41868,T6V
"Gliese 445 (LHS 2459, G 254-29)","Gliese 445 (LHS 2459, G 254-29)",17.13680.0017,190.32510.01948,M4V
2MASS J154043425101357,2MASS J154043425101357,17.37380.0046,187.72900.04968,L7.5V
2MASS 09392448,2MASS 09392448 A,17.410.44,187.34.669,L5V
2MASS 09392448,2MASS 09392448 B,,,T7V
"GJ 3323 (LHS 1723, LP 656-38)","GJ 3323 (LHS 1723, LP 656-38)",17.53090.0026,186.04660.02778,M4.5V
"Gliese 526 (Wolf 498, HD 119850)","Gliese 526 (Wolf 498, HD 119850)",17.72630.0024,183.99620.02538,M0V
WISE 03505658,WISE 03505658,17.840.30,182.93.162,T7V
"Stein 2051 (Gliese 169.1, G 175-34)","Stein 2051 (Gliese 169.1, G 175-34) A",17.99250.0020,181.27300.02038,M1V
"Stein 2051 (Gliese 169.1, G 175-34)","Stein 2051 (Gliese 169.1, G 175-34) B",,,M1V
2MASS J111451332618235,2MASS J111451332618235,18.200.14,179.21.470,T6V
