Column1,Column2,Column3,Column5,Column6
LP 991-84,LP 991-84,28.459±0.010,39h 54m 21.7s?39° 36? 09?,M4.5V
Xi Ursae Majoris,Aa (Alula Australis)$,28.49±0.11,11h 18m 10.9s+31° 31? 45?,F8.5:V
,Ab,,,M
,Ba$,,,G2V
,Bb,,,M
,WISE J1118+3125§,,,T8.5
2MASS 0036+1821 (LSPM J0036+1821)§,2MASS 0036+1821 (LSPM J0036+1821)§,28.492±0.034,00h 36m 16.17s18° +21? 10.4?,L3.5
Gliese 250 (HD 50281),A$,28.5373±0.0055,06h 52m 18.1s?05° 10? 25?,K3V
,Ba,,,M2.5V
,Bb,,,
Gliese 450 (MCC 135),Gliese 450 (MCC 135),28.5888±0.0048,11h 51m 07.3s+35° 16? 19?,M1.5V
GJ 1103,A,28.61,,M4.5V
,B,,,MV
WISENF 1936+0408§,WISENF 1936+0408§,28.64±0.99,19h 36m 56.1s+04° 08? 01?,Y0
41 G. Arae,A$,28.673±0.018,17h 19m 03.8s?46° 38? 10?,G8V
,Ba,,,M0V
,Bb,,,
"HD 192310 (5 G. Capricorni, HR 7722, Gliese 785)$","HD 192310 (5 G. Capricorni, HR 7722, Gliese 785)$",28.739±0.013,20h 15m 17.4s?27° 01? 59?,K2+V
Gliese 849,Gliese 849,28.7503±0.0076,22h 09m 40.3s–04° 38? 27?,M3.5V
HU Delphini (Gliese 791.2),A,28.762±0.051,20h 29m 48.3s+09° 41? 20?,M4.5V
,B,,,M
Gliese 745,A (Ross 730),28.8066±0.0049,19h 07m 05.6s+20° 53? 17?,M2.0V
,B (HD 349726),,,M2V
IRAS 06355-7535 (LDS 169),A (L 32-9),28.8301±0.0043,06h 33m 47.0s?75° 37? 46?,M2V
,B (L 32-8),,,M3V
"HR 1614 (284 G. Eridani, HD 32147, Gliese 183)$","HR 1614 (284 G. Eridani, HD 32147, Gliese 183)$",28.8451±0.0057,05h 00m 49.0s?05° 45? 13?,K3V
GJ 1105 (G 111-47),GJ 1105 (G 111-47),28.8653±0.0066,07h 58m 12.7s+41° 18? 13?,M3.5Ve
Gliese 867,A (FK Aquarii),28.8668±0.0099,22h 38m 45.6s?20° 37? 16?,M0Vep
,B (FL Aquarii),,,M3.5V
,C,,,
,D,,,
Ross 695 (Gliese 465),Ross 695 (Gliese 465),28.9469±0.0062,12h 24m 52.5s?18° 14? 32?,M2
SCR J0630-7643,A,28.951±0.024,06h 30m 46.6s?76° 43? 09?,M6.0
,B,,,M
DENIS 0334-49 (LEHPM 3396),DENIS 0334-49 (LEHPM 3396),28.963±0.014,03h 34m 12.2s?49° 53? 32?,M9V
2MASS 0727+1710§,2MASS 0727+1710§,28.99±0.23,07h 27m 18.2s+17° 10? 01?,T7
Gamma Leporis,A$,29.0004±0.0058,05h 44m 27.8s?22° 26? 54?,F6V
,B (AK Leporis)$,,,K2V
WISE1810§,WISE1810§,29.03+2.28?1.95,18h 10m 06.18s?10° 10? 00.5?,esdT8-esdT9[39]
GJ 2066 (G 113-20),GJ 2066 (G 113-20),29.1550±0.0059,08h 16m 08.0s+01° 18? 09?,M2.0V
"LHS 224 (G 193-27, GJ 3421)",A,29.43±0.19,07h 03m 55.7s+52° 42? 07?,M5.0Ve
,B,,,M
SZ Ursae Majoris,SZ Ursae Majoris,29.588±0.0045,11h 20m 04.8s+65° 50? 47?,M2V
Gliese 433,Gliese 433,29.6045±0.0055,11h 35m 26.9s?32° 32? 24?,M2V
Delta Eridani (Rana)$,Delta Eridani (Rana)$,29.644±0.052,03h 43m 14.9s–09° 45? 48?,KIV
Gliese 508 (HD 115953),Aa,29.65±0.23,13h 19m 45.5s+47° 46? 41?,M2V
,Ab,,,
,B,,,
GJ 3146 (LP 469-206),GJ 3146 (LP 469-206),29.664±0.019,02h 16m 30.0s+13° 35? 13?,M5.0Ve
"LHS 1126 (GJ 2012, EGGR 246)‡","LHS 1126 (GJ 2012, EGGR 246)‡",29.6701±0.0055,00h 41m 26.0s?22° 21? 02?,DQ9
V374 Pegasi,V374 Pegasi,29.6898±0.0070,22h 01m 13.1s+28° 18? 25?,M3.5Ve
2MASSI J0652307+471034§,2MASSI J0652307+471034§,29.714±0.076,06h 52m 30.7s+47° 10? 35?,L4.5
WT 460,A,29.723±0.063,14h 11m 59.9s?41° 32? 22?,M5.5e
,B,,,
Gliese 283 (L 745-46),"A (LP 783-3, LAWD 25)‡",29.8285±0.0049,07h 40m 20.8s?17° 24? 49?,DAZ6
,B (LP 783-2),,,M6.5V
WISE 0713?2917§,WISE 0713?2917§,29.84±0.58,07h 13m 22.6s?29° 17? 52?,Y0
2MASS J03552337+1133437§,2MASS J03552337+1133437§,29.88±0.13,03h 55m 23.4s+11° 33? 44?,L5?
WISEP J213456.73-713743.6§,WISEP J213456.73-713743.6§,29.90±1.05,21h 34m 56.7s?71° 37? 45?,T9pec
"Groombridge 1830 (CF Ursae Majoris, HD 103095)$","Groombridge 1830 (CF Ursae Majoris, HD 103095)$",29.9145±0.0054,11h 52m 58.8s+37° 43? 07?,G8VIp
GJ 3801 (Ross 1015),GJ 3801 (Ross 1015),29.980±0.012,13h 42m 43.3s+33° 17? 24?,M4V
Beta Comae Berenices$,Beta Comae Berenices$,29.998±0.045,13h 11m 52.4s+27° 52? 41?,G0V
CFBDS J005910.90–011401.3 (CFBDS J005910-011401)§,CFBDS J005910.90–011401.3 (CFBDS J005910-011401)§,30 ± 1,,T8.5
GJ 3325,GJ 3325,30.03 ± 0.72,,M3V
WISE 0458+6434 (WISEPC J045853.90+643451.9),A§,30.1 ± 0.5,,T8.5
,B§,,,T9.5
GJ 3421,GJ 3421,30.1 ± 0.6,,M4.5V
2MASS 1750-00§,2MASS 1750-00§,30.10,,L5.5
WISE 1804+3117§,WISE 1804+3117§,30.2,,T9.5
Gamma Pavonis$,Gamma Pavonis$,30.20 ± 0.03,21h 26m 26.60484s?65° 21? 58.3145?[citation needed],F9VFe-1.4 CH-0.7
GJ 3135,GJ 3135,30.25,,M2.5+V
Kappa? Ceti$,Kappa? Ceti$,30.26 ± 0.05,,G5Vv
SDSS J141624.08+134826.7 (SDSS J1416+1348),A§,30.27 ± 0.06,,sdL7
,B§,,,T7.5p
HD 102365 (66 G. Centauri/Gliese 442),B,30.362 ± 0.010,11h 46m 32.68988s?40° 29? 47.6048?[citation needed],M4V
,A$,30.40 ± 0.02,11h 46m 31.07253s?40° 30? 01.2859?[citation needed],G2V
2MASS J0011+5908,2MASS J0011+5908,30.37,,M6V
GJ 1123,GJ 1123,30.51 ± 0.28,,M4.5V
Gliese 190,Gliese 190,30.52 ± 0.18,,M3.5V
Gliese 226,Gliese 226,30.60 ± 0.12,,M2.5V
GJ 3306 (LHS 194)‡,GJ 3306 (LHS 194)‡,30.69 ± 0.39,,DQ8
Gliese 367 (Añañuca),Gliese 367 (Añañuca),30.719 ± 0.004,,M1.0V
Gliese 357,Gliese 357,30.776 ± 0.007,,M2.5V
2MASS J11592743-5247188,2MASS J11592743-5247188,30.9 ± 0.04,,M9V
2MASS 0034+0523§,2MASS 0034+0523§,30.9  +2.4?2.1,,T6.5
Gliese 694,Gliese 694,30.92 ± 0.34,,M2V
Gliese 176,Gliese 176,30.937 ± 0.006,,M2.5V
GJ 3512,GJ 3512,30.976 ± 0.009,,M5.7
GJ 1065,GJ 1065,30.98 ± 0.98,,M3V
CWISEP J1446?2317§,CWISEP J1446?2317§,31 ± 2,,Y1
GJ 1227,GJ 1227,31.06 ± 1.78,,M4.0V
GJ 3380,GJ 3380,31.075,,M5V
HR 4458 (289 G. Hydrae),B,31.164 ± 0.008,,DC8
,A$,31.177 ± 0.008,,K0V
2MASS J11553952-3727350,2MASS J11553952-3727350,31.2 ± 1.5,,L2.3
61 Ursae Majoris$,61 Ursae Majoris$,31.24 ± 0.04,,G8V
Wolf 1069,Wolf 1069,31.229 ± 0.008,,dM5.0
Gliese 358,Gliese 358,31.36 ± 0.12,,M3V
WISEA J1141?3326§,WISEA J1141?3326§,31.4 ± 0.9,,Y0
TYC 3251-1875-1,TYC 3251-1875-1,31.51 ± 5.90,,MV
LHS 6167,LHS 6167,31.57 ± 0.30,,M4.5V
WISE J140533.32+835030.5,WISE J140533.32+835030.5,31.6 ± 5.5,,L8
Gliese 479,Gliese 479,31.61 ± 0.68,,M3V(e)
AU Microscopii,AU Microscopii,31.683 ± 0.007,,M1Ve
GJ 1138,GJ 1138,31.70 ± 0.96,,M5V
Gliese 436 (Noquisi),Gliese 436 (Noquisi),31.882 ± 0.009,,M2.5V
LP 655-48,LP 655-48,31.96 ± 0.33,,M7.5Ve
WISE 0811-8051§,WISE 0811-8051§,32.0,,T9.5
GJ 3112 (LHS 145)‡,GJ 3112 (LHS 145)‡,32.04 ± 0.25,,DA8.1
GJ 3253,GJ 3253,32.11 ± 0.64,,M5V
Gliese 638$,Gliese 638$,32.114 ± 0.005,,K7.5Ve
Gliese 49/51,A,32.158 ± 0.005,,M1.5V
,B,,,M5V
12 Ophiuchi$,12 Ophiuchi$,32.27 ± 0.02,,K2V
GJ 3988,GJ 3988,32.30 ± 0.01,,M5V
HD 232979,HD 232979,32.320 ± 0.009,,M0.5V
GJ 3119,GJ 3119,32.36 ± 0.59,,M4.5Ve
Gliese 680,Gliese 680,32.37 ± 0.26,,M3V
Gliese 569 A,Gliese 569 A,32.466 ± 0.007,,M3V
WISE 1614+1739§,WISE 1614+1739§,32.6,,T9
ULAS 1335+11,ULAS 1335+11,32.6 ± 0.5,,T9
HD 260655 (Gliese 239),HD 260655 (Gliese 239),32.608 ± 0.007,,M0V
GJ 1125,GJ 1125,32.61 ± 0.17,,M3.5Ve
10 parsecs (about 32.616 ly),10 parsecs (about 32.616 ly),10 parsecs (about 32.616 ly),10 parsecs (about 32.616 ly),10 parsecs (about 32.616 ly)
GJ 3976,GJ 3976,32.71 ± 1.02,,M5V
GJ 3182‡,GJ 3182‡,32.73 ± 0.10,,DAZ9.5
Gliese 22,A,32.82 ± 0.69,,M2.5Ve
,B,,,M3V
,C,,,M
HR 5256,HR 5256,32.83 ± 0.11,,K3V
HR 511,HR 511,32.84 ± 0.18,,K0V
WISE 1150+6302§,WISE 1150+6302§,32.9,,T8
WISE 1318-1758§,WISE 1318-1758§,32.9,,T9
Gliese 678.1 A,Gliese 678.1 A,33.12 ± 0.10,,M1.0Ve
Gliese 453,Gliese 453,33.13 ± 0.19,,K4+V
Alpha Mensae (Hoerikwaggo),A$,33.26 ± 0.05,,G7V
,B,,,M3.5-6.5 V
Gliese 1277,Gliese 1277,33.59 ± 0.33,,M4.5
Pollux (Beta Geminorum)$,Pollux (Beta Geminorum)$,33.78 ± 0.09,,K0III
2MASS J2139+0220§,2MASS J2139+0220§,33.8 ± 0.4,,T1.5
Gliese 649,Gliese 649,33.84 ± 0.12,,M1.5V
Gliese 339.1‡,Gliese 339.1‡,33.52 ± 0.64,,DC7P
SCR J0533-4257,SCR J0533-4257,33.75 ± 0.64,,M4.5V
HD 17925 (32 G. Eridani),HD 17925 (32 G. Eridani),33.76 ± 0.14,,K1V
2MASS 0559-1404§,2MASS 0559-1404§,33.76 ± 0.35,,T4.5
2MASS 1237+6526§,2MASS 1237+6526§,33.9 ± 1.8,,T6.5V
WISE 1322-2340§,WISE 1322-2340§,33.9,,T8
Gliese 595,Gliese 595,34.01 ± 1.87,,M3
Gliese 127.1‡,Gliese 127.1‡,34.08 ± 0.62,,DA3.0
WISE J2030+0749§,WISE J2030+0749§,34.2 ± 8.5,,T1.5
L 363-38 (GJ 3049),L 363-38 (GJ 3049),34.25 ± 0.50,,M3
Iota Persei$,Iota Persei$,34.38 ± 0.08,,G0V
2MASS 1047+2124§,2MASS 1047+2124§,34.4 ± 1.4,,T6.5
WD 0821-669‡,WD 0821-669‡,34.44 ± 0.20,,DA9.8
2MASS J00501994?3322402§,2MASS J00501994?3322402§,34.5 ± 0.9,,T7
Gliese 653/654,A,34.60 ± 0.35,,K4/5V
,B,,,M1.5V
L 98-59,L 98-59,34.6,,M3V
WISE 0148-7202§,WISE 0148-7202§,34.6,,T9.5
2MASS 2228-4310§,2MASS 2228-4310§,34.7  +2.8?2.4,,T6.5
2MASS J08251968+2115521§,2MASS J08251968+2115521§,34.8 ± 0.4,,L7.5
2MASS 0243-2453§,2MASS 0243-2453§,34.8 ± 1.4,,T6
WISE 0734-7157§,WISE 0734-7157§,34.9,,Y0
Zeta Herculis,A$,34.95 ± 0.18,,F9IV
,B,,,G7V
Gliese 617,A,34.99 ± 0.14,,M1-Ve
,B,,,M3.0Ve
AT Microscopii,A,35 ± 1,,M4Ve
,B,,,M4.5Ve
TVLM513-46546,TVLM513-46546,35.1 ± 0.09,,M8.5V
Gliese 203,Gliese 203,35.11 ± 0.92,,M3.5Ve
Gliese 3820,Gliese 3820,35.12 ± 0.32,,M4.5V
SCR J0838-5855,A,35.16 ± 0.22,,M6.0
,B,,,M
HR 9038,A,35.2 ± 0.2,,K3V
,B,,,K3V
,C,,,M2
Gliese 488,Gliese 488,35.2 ± 0.4,,MV
Delta Trianguli,A,35.4 ± 0.3,,G0V
,B,,,K
L 34-26,L 34-26,35.52 ± 0.06,,M3
GJ 4063,GJ 4063,35.5292,,M4V
Beta Virginis (Zavijava)$,Beta Virginis (Zavijava)$,35.6 ± 0.3,,F9V
Gliese 86,A,35.6 ± 0.2,,K1V
,B,,,DQ6
SCR J1214-2345,A,35.69 ± 0.60,,M4.5
,B,,,T1
G 239-25,G 239-25,35.77 ± 0.12,,M3V
HD 160346,HD 160346,35.88 ± 0.27,,K3V
2MASS J19513587-3510375,2MASS J19513587-3510375,35.88 ± 6.52,,M4
WISE 2313-0837§,WISE 2313-0837§,35.9,,T8
Gliese 438,Gliese 438,35.94 ± 0.19,,MV
L 369-44,A,36.168,,M5
,B,,,M
2MASS J16452211-1319516,2MASS J16452211-1319516,36.19 ± 0.33,,L1.5
Denebola (Beta Leonis)$,Denebola (Beta Leonis)$,36.2 ± 0.4,,A3V
HR 6806 (HD 166620),HR 6806 (HD 166620),36.2 ± 0.2,,K2V
54 Piscium,A,36.2 ± 0.3,,K0V
,B,,,T7.5V
HIP 57050 (GJ 1148),HIP 57050 (GJ 1148),36.2 ± 1.1,,MV
Gamma Serpentis$,Gamma Serpentis$,36.3 ± 0.3,,F6V
HD 74576,HD 74576,36.3 ± 0.2,,KV
HD 85512,HD 85512,36.4 ± 0.3,,K5V
Gliese 325,A,36.4  +1.5?1.4,,KV
,B,,,M
WD 0810–353 (UPM J0812-3529),WD 0810–353 (UPM J0812-3529),36.439 ± 0.006,,DAH
11 Leonis Minoris,A,36.5 ± 0.3,,G8V
,B,,,M5V
WISE 0325+0831,WISE 0325+0831,36.5,,T7
Theta Persei$,A,36.6 ± 0.3,,F7V
,B,,,M1V
HD 115404,A,36.6 ± 0.4,,K2V
,B,,,M1V
Arcturus (Alpha Boötes)$,Arcturus (Alpha Boötes)$,36.7 ± 0.3,,K0III
ADS 48,A,36.7 ± 0.6,,K6V
,B,,,M0.5V
G 107-69/70,A,36.76 ± 0.01,,M4.5
,B,,,DA
,C,,,DA
WISE 0038+2768,WISE 0038+2768,36.9,,T9
Eta Boötis (Muphrid)$,Eta Boötis (Muphrid)$,37.0 ± 0.3,,G0IV
Gliese 208,Gliese 208,37.1 ± 0.6,,M0.0 Ve
Gliese 902,Gliese 902,37.2 ± 0.3,,KV
WISE 0627-1114§,WISE 0627-1114§,37.2,,T6
WISE 1959-3338§,WISE 1959-3338§,37.2,,T8
Gliese 169,Gliese 169,37.4 ± 0.5,,KV
WISE 0623-0456§,WISE 0623-0456§,37.5,,T8
WISE 2325-4105§,WISE 2325-4105§,37.5,,T9pec
ADS 48 F,ADS 48 F,37.51 ± 0.02,,M1V
HR 5553 (DE Boötis),HR 5553 (DE Boötis),37.6 ± 0.4,,K0V
WISE 2340-0745§,WISE 2340-0745§,37.8,,T7
Gliese 3417,Gliese 3417,37.88 ± 0.96,,M4.5V
Zeta Doradus$,A,38.0 ± 0.2,,F7V
,B,,,K7V
SCR J0640-0552,SCR J0640-0552,38.04 ± 1.27,,M2
SSSPM J0829-1309,SSSPM J0829-1309,38.128 ± 0.077,,L2
Iota Pegasi$,A,38.3 ± 0.3,,F5V
,B,,,G8V
Lambda Serpentis$,Lambda Serpentis$,38.3 ± 0.4,,G0V
Gliese 773.6,Gliese 773.6,38.5 ± 5.8,,KV
WISE J1206+8401,WISE J1206+8401,38.5 ± 1.0,,Y0
Delta Capricorni (Deneb Algedi)$,Delta Capricorni (Deneb Algedi)$,38.6 ± 0.4,,A7mIII
HD 125072,HD 125072,38.6 ± 0.4,,K3IV
L 43-72,L 43-72,38.66 ± 0.71,,M4.5
Gamma Virginis (Porrima)$,A,38.7 ± 0.4,,F0V
,B,,,F0V
L 449-1,L 449-1,38.7 ± 0.6,,MV
WISE 0759-4904§,WISE 0759-4904§,38.8,,T8
Gliese 414 B (GJ 414),Gliese 414 B (GJ 414),38.70,,M2V
Gliese 414 A (GJ 414),Gliese 414 A (GJ 414),38.76,,K7V
WISE 0751-7634§,WISE 0751-7634§,39.1,,T9
G 180-060,G 180-060,39.20 ± 1.19,,M6V
Gliese 806,Gliese 806,39.348 ± 0.008,,dM1.5
Zeta Reticuli,A,39.4 ± 0.3,,G3V
,B,,,G2V
Zeta Trianguli Australis$,Zeta Trianguli Australis$,39.5 ± 0.3,,F9V
85 Pegasi,A,39.5 ± 0.4,,G5Vb
,B,,,K7V
Gliese 798,Gliese 798,39.5 ± 0.6,,KV
Gliese 180 (GJ 180),Gliese 180 (GJ 180),39.5  +1.2?1.1,,MV
TRAPPIST-1,TRAPPIST-1,39.5 ± 1.3,,M8.2V
WISE 1653+4444,WISE 1653+4444,39.5,,T8
Gliese 3304,Gliese 3304,39.53 ± 1.43,,M4.5V
HR 3384 (11 G. Pyxidis),HR 3384 (11 G. Pyxidis),39.7 ± 0.3,,G9V
V538 Aurigae,V538 Aurigae,39.9 ± 0.4,,K1V
Gliese 179,Gliese 179,40.1 +2.1?1.9,,M4V
Beta Trianguli Australis,Beta Trianguli Australis,40.2 ± 0.3,,F1V
Gliese 806,Gliese 806,40.2 ± 0.9,,M1.5V
55 Cancri (Rho? Cancri/Copernicus),A,40.25 ± 0.37,,G8V
,B,,,M4V
Gliese 435,Gliese 435,40.8 ± 0.5,,KV
Gliese 4360,A,40.77 ± 0.65,,M5
,B,,,M5
WISE 1051-2138,WISE 1051-2138,40.8,,T9
WISE J0457-0207,WISE J0457-0207,40.8 ± 10.1,,T2
LHS 1140,LHS 1140,41,,M4.5V
HD 69830,HD 69830,41.0 ± 0.4,,G8V
ULAS J0034-00,ULAS J0034-00,41.0 +2.1?1.9,,Y0
WISE 1542+2230,WISE 1542+2230,41.1,,T9.5
Gliese 1132,Gliese 1132,41.15 ± 0.02,,M4
HR 483,A,41.2 ± 0.4,,G1.5V
,B,,,MV
Lambda Aurigae (Al Hurr)$,Lambda Aurigae (Al Hurr)$,41.2 ± 0.5,,G1V
Gliese 142,Gliese 142,41.2 ± 1.2,,K3.5V
HD 175224,HD 175224,41.2 ± 1.6,,MV
Innes' star,Innes' star,41.3,,MV
HD 14412,HD 14412,41.4 ± 0.4,,G8V
Gliese 349,Gliese 349,41.4 ± 0.6,,KV
44 Boötis (i Boötis/Quadrans),A,41.6 ± 0.3,,G0V
,B,,,F
2MASS J0523-1403,2MASS J0523-1403,41.62,,L2.5
HD 158633,HD 158633,41.7 ± 0.3,,K0V
Gliese 3707,Gliese 3707,41.75 ± 1.30,,M3.5V
HD 40307,HD 40307,41.8 ± 0.3,,K2.5V
36 Ursae Majoris,36 Ursae Majoris,41.9 ± 0.4,,F8V
HD 147513,HD 147513,42.0 ± 0.5,,G1V
Gliese 428,Gliese 428,42.0 ± 1,,KV
WISE 0857+5604,WISE 0857+5604,42.1,,T8
HD 104304,A,42.1 ± 0.4,,G8IV
,B,,,M4V
Capella (Alpha Aurigae),Aa$,42.919±0.049,,G8III-G3III:
,Ab,,,G0III-G1III
,H,43.52 ± 0.01,,M2.5 V
,L,43.38 ± 0.03,,M4:
Wolf 1473,Wolf 1473,42.26 ± 0.92,,M3.5
Gliese 204,Gliese 204,42.3 ± 0.5,,KV
HD 166348,HD 166348,42.3 ± 0.7,,M0V
WISE 2019-1148,WISE 2019-1148,42.4,,T8.5
HD 172051,HD 172051,42.4 ± 0.5,,G5V
Gliese 521,Gliese 521,42.4 ± 0.9,,M1V
GRW +70 8247,GRW +70 8247,42.4 +1.3?1.2,,DA:w
Gliese 1001,A,42.44 ± 2.08,,M4V
,B,,,L5
WISE 2134-7137,WISE 2134-7137,42.7,,T9
WISE 2359-7335,WISE 2359-7335,42.7,,T5.5
Gliese 167,Gliese 167,42.7 ± 0.3,,K5V
HD 190007,HD 190007,42.8 ± 0.6,,K4V
SZ Crateris,SZ Crateris,42.9 ± 1,,KV
HD 170657,HD 170657,43.1 ± 0.5,,K2V
58 Eridani,58 Eridani,43.4 ± 0.5,,G1.5V
CW Ursae Majoris,CW Ursae Majoris,43.6,,M3.5V
Gliese 146,Gliese 146,43.6 ± 0.5,,K6.5V
Gliese 1267,Gliese 1267,43.6 ± 0.8,,KV
Gliese 556,Gliese 556,43.8 ± 0.4,,KV
Gliese 69,Gliese 69,43.8 ± 0.7,,K5V
Upsilon Andromedae (Titawin),A,43.9 ± 0.4,,F8V
,B,,,M4.5V
Theta Ursae Majoris (Alhaud),Theta Ursae Majoris (Alhaud),44.0 ± 0.4,,F6IV
HD 29697,HD 29697,44.0 ± 0.8,,K3V
G 161-71,G 161-71,44.02 ± 0.84,,M4.5
Gliese 868,Gliese 868,44.2 ± 0.7,,K5V
WISE 0359?5401,WISE 0359?5401,44.3 ± 1.2,,Y0
WISE 1311+0122,WISE 1311+0122,44.4,,T9
WISE 1952+7240,WISE 1952+7240,44.4,,T4
HD 211415,A,44.4 ± 0.4,,G0V
,B,,,MV
Gliese 528,A,44.4 ± 0.7,,K4V
,B,,,dK6
G 29-38,G 29-38,44.4 +2.6?2.3,,DAV4.4
HD 154577,HD 154577,44.6 ± 0.6,,K2.5Vk
WISE 0513+0608,WISE 0513+0608,44.7,,T6.5
WISE 2255-3118,WISE 2255-3118,44.7,,T8
Beta Aquilae (Alshain),Beta Aquilae (Alshain),44.7 ± 0.5,,G8IV
HD 166,HD 166,44.7 ± 0.5,,G8V
Gliese 215,Gliese 215,44.7 ± 0.7,,MV
10 Tauri,10 Tauri,44.8 ± 0.5,,F8V
Gliese 615,Gliese 615,44.8 ± 0.5,,KV
HD 166,HD 166,44.9 ± 0.03,,K0 Ve
WISE J0304?2705,WISE J0304?2705,45 ± 2,,Y0pec
WISE 2226+0440,WISE 2226+0440,45.0,,T8
Gamma Cephei (Errai),A$,45.0 ± 0.3,,K1IVe
,B,,,M4V
Iota Piscium,Iota Piscium,45.0 ± 0.5,,F7V
WISE 0323-6025,WISE 0323-6025,45.3,,T8.5
GJ 898,GJ 898,45.5 ± 0.9,,KV
Tau? Eridani,Tau? Eridani,45.6 ± 0.5,,F7V
Alpha Fornacis (Dalim),A$,45.66 ± 0.08,,F6V
,Ba,,,G7V
,Bb,,,D
18 Scorpii,18 Scorpii,45.7 ± 0.6,,G2Va
Gliese 532,Gliese 532,45.7 ± 0.6,,KV
WISE 0335+4310,WISE 0335+4310,45.7,,T9
WISE 0723+3403,WISE 0723+3403,45.7,,T9
HD 23356,HD 23356,45.8 ± 0.6,,K2V
47 Ursae Majoris (Chalawan),47 Ursae Majoris (Chalawan),45.9 ± 0.4,,G1V
26 Draconis,A,45.9 ± 0.3,,F9V
,B,,,K3V
,C,,,M1V
Gliese 42,Gliese 42,45.9 ± 0.5,,K3V
Gliese 400,Gliese 400,46.0 ± 1.6,,MV
WISE 0819-0335,WISE 0819-0335,46.0,,T4
WISE 2209-2734,WISE 2209-2734,46.0,,T7
WISE 2237+7228,WISE 2237+7228,46.0,,T6
WISE 2344+1034,WISE 2344+1034,46.0,,T9
Gliese 726,Gliese 726,46.1 ± 0.8,,K5V
Gliese 529,Gliese 529,46.3 ± 0.7,,K5.5V
Gliese 282,A,46.3 ± 0.6,,K2V
,B,,,K7V
,C,,,M1.5Ve
Gliese 2130,A,46.31 ± 0.99,,M1.5
,B,,,M2.5
HR 7578,HR 7578,46.6,,K3V
Pi? Ursae Majoris,Pi? Ursae Majoris,46.6 ± 0.5,,G1.5Vb
Gliese 481,Gliese 481,46.6 ± 0.7,,K4V
WISE 0458+6434,A,46.6 +17.4?9.9,,T8.5
,B,,,T9.5
WISE 1828+2650,WISE 1828+2650,46.6 +11.6?7.8,,Y2
Alpha Ophiuchi (Rasalhague),A$,46.7 ± 0.6,,A5IVnn
,B,,,K6V
Eta Cephei (Al Kidr)$,Eta Cephei (Al Kidr)$,46.8 ± 0.3,,K0IV
Gliese 613,Gliese 613,46.8 ± 0.6,,KV
Gliese 611,A,46.9 ± 0.4,,G8V
,B,,,M4V
72 Herculis,72 Herculis,46.9 ± 0.4,,G0V
HD 150689,HD 150689,46.9 ± 0.7,,K2V
TYC 3135–52–1,TYC 3135–52–1,46.95,,M3V
Gliese 546,Gliese 546,47.0 ± 0.7,,KV
HIP 79431,HIP 79431,47.0 +2.2?2.0,,M3V
WISE 0223-2932,WISE 0223-2932,47.0,,T7.5
WISE 0500-1223,WISE 0500-1223,47.0,,T8
WISE 1812+2721,WISE 1812+2721,47.0,,T8.5
WISE 0535-7500,WISE 0535-7500,47.0,,Y1
CM Draconis,CM Draconis,47.1 ± 1.8,,M4.5V
VHS J125804.89-441232.4,VHS J125804.89-441232.4,47.1 ± 5.9,,T6
WISE 0744+5628,WISE 0744+5628,47.3,,T8
WISE 1309-1600,WISE 1309-1600,47.3,,T?
Theta Boötis (Asellus Primus),A,47.5 ± 0.4,,F7V
,B,,,M2.5V
Gliese 1214 (Orkaria),Gliese 1214 (Orkaria),47.5 ± 0.4,,MV
Nu? Lupi,Nu? Lupi,47.5 ± 0.5,,G2V
HIP 79431 (Sharjah),HIP 79431 (Sharjah),47.54 ± 0.02,,M3V
WISE 0040+0900,WISE 0040+0900,47.6,,T7
WISE 1018-2445,WISE 1018-2445,47.6,,T8
Iota Ursae Majoris (Talitha)$,Iota Ursae Majoris (Talitha)$,47.7 ± 0.6,,A7IV
Gliese 259,Gliese 259,47.7 ± 0.5,,K1V
111 Tauri,A,47.8 ± 0.7,,F8V
,B,,,K5V
HD 196761,HD 196761,47.8 ± 0.6,,G8V
OU Geminorum,OU Geminorum,47.8 ± 0.8,,K3V
Gliese 604,Gliese 604,47.8 ± 0.7,,KV
Psi Capricorni (Yue),Psi Capricorni (Yue),47.9 ± 0.6,,F5V
Psi Serpentis,A,47.9 ± 0.6,,G5V
,B,,,K2
Gliese 420,Gliese 420,47.9 ± 0.8,,KV
WISE 2018-7423,WISE 2018-7423,47.9,,T7
CWISEP J1047+5457,CWISEP J1047+5457,48 ± 3,,Y1
Gliese 833,Gliese 833,48.1 ± 0.6,,KV
Alpha Corvi (Alchiba)$,A,48.2 ± 0.5,,F1V
,B,,,M4V
Gliese 269,Gliese 269,48.2 ± 0.6,,KV
BPM 37093 (V886 Centauri),BPM 37093 (V886 Centauri),48.39 ± 0.01,,DAV4.4
LHS 3844 (Bats??),LHS 3844 (Bats??),48.53 ± 0.01,,M4.5-M5
20 Leonis Minoris (Cor),20 Leonis Minoris (Cor),48.6 ± 0.6,,G3V
WISE 0015-4615,WISE 0015-4615,48.6,,T8
WISE 2343-7418,WISE 2343-7418,48.6,,T6
HD 4391,HD 4391,48.7 ± 0.5,,G3V
Alpha Cephei (Alderamin)$,Alpha Cephei (Alderamin)$,48.8 ± 0.4,,A8Vn
Gliese 123,Gliese 123,48.8 ± 1.3,,MV
