Column1,Column2,Column3,Column5,Column6
"EI Cancri (GJ 1116, G 9-38)",A,16.800±0.011,194.1443±0.1228[8],
,B,,,
WISE J150649.97+702736.1§,WISE J150649.97+702736.1§,16.856±0.052,193.5±0.6[60],
GJ 3379 (G 99-49),GJ 3379 (G 99-49),16.9861±0.0027,192.0135±0.0310[8],
DENIS J081730.0?615520§,DENIS J081730.0?615520§,17.002±0.037,191.8362±0.4186[8],
"Gliese 445 (LHS 2459, G 254-29)","Gliese 445 (LHS 2459, G 254-29)",17.1368±0.0017,190.3251±0.0194[8],
2MASS J15404342?5101357,2MASS J15404342?5101357,17.3738±0.0046,187.7290±0.0496[8],
2MASS 0939?2448,A§,17.41±0.44,187.3±4.6[69],
,B§,,,
"GJ 3323 (LHS 1723, LP 656-38)","GJ 3323 (LHS 1723, LP 656-38)",17.5309±0.0026,186.0466±0.0277[8],
"Gliese 526 (Wolf 498, HD 119850)","Gliese 526 (Wolf 498, HD 119850)",17.7263±0.0024,183.9962±0.0253[8],
WISE 0350?5658§,WISE 0350?5658§,17.84±0.30,182.9±3.1[62],
"Stein 2051 (Gliese 169.1, G 175-34)",A,17.9925±0.0020,181.2730±0.0203[8],
,B‡,,,
2MASS J11145133?2618235§,2MASS J11145133?2618235§,18.20±0.14,179.2±1.4[70],
"Gliese 251 (Wolf 294, HD 265866)","Gliese 251 (Wolf 294, HD 265866)",18.2146±0.0028,179.0629±0.0280[8],
LP 816-60,LP 816-60,18.3305±0.0038,177.9312±0.0365[8],
LSR J1835+3259,LSR J1835+3259,18.5534±0.0049,175.7930±0.0468[8],
"Gliese 205 (Wolf 1453, HD 36395)","Gliese 205 (Wolf 1453, HD 36395)",18.6042±0.0022,175.3131±0.0204[8],
2MASS J04151954?0935066§,2MASS J04151954?0935066§,18.62±0.18,175.2±1.7[70],
Gliese 229 (HD 42581),A,18.7906±0.0018,173.5740±0.0170[8],
,Ba§,,,
,Bb§,,,
Alsafi (Sigma Draconis)$,Alsafi (Sigma Draconis)$,18.7993±0.0081,173.4939±0.0748[8],
Ross 47 (Gliese 213),Ross 47 (Gliese 213),18.8883±0.0031,172.6762±0.0286[8],
WISE 1541?2250§,WISE 1541?2250§,18.93±0.17,172.3±1.6[62],
"Gliese 570(Lalande 27173, 33 G. Librae)",A$,19.1987±0.0074,169.8843±0.0653[8],
,B,,,
,C,,,
,D§,,,
Gliese 693 (Luyten 205–128),Gliese 693 (Luyten 205–128),19.2078±0.0053,169.8042±0.0465[8],
Gliese 754 (Luyten 347–14),Gliese 754 (Luyten 347–14),19.2724±0.0067,169.2351±0.0588[8],
"Gliese 908 (Lalande 46650, BR Piscium)","Gliese 908 (Lalande 46650, BR Piscium)",19.2745±0.0032,169.2163±0.0281[8],
"Gliese 752 (Wolf 1055, HD 180617)",A,19.2922±0.0027,169.0615±0.0239[8],
,B (VB 10),,,
